Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0805,2,10uF,
"C10, C6, C7",0805,3,1uF,
C3,0805,1,4.7nF,
"C4, C5, C8, C9",0805,4,0.1uF,
D1,D_SMA,1,D,
J1,JST_SHL_SM12B-SHLS-TF_1x12-1MP_P1.00mm_Horizontal,1,Conn_01x12_Socket,
J2,"PhoenixContact_MCV_1,5_3-G-3.81_1x03_P3.81mm_Vertical_AC",1,PWR-CONN,
"J3, J4, J5, J6","PhoenixContact_MCV_1,5_3-G-3.81_1x03_P3.81mm_Vertical_AC",4,COM-CON,
"R1, R2",0805,2,60,
R10,0805,1,2.5K,
"R3, R4, R5, R6, R7, R8, R9",0805,7,10K,
U1,TO-252-3_TabPin2,1,L7805,
U2,SOIC-8_3.9x4.9mm_P1.27mm,1,TJA1051T-3,
