Designator,Mid X,Mid Y,Rotation,Layer
C1,131.2,-83.15,270.0,bottom
C10,152.5,-72.6,180.0,bottom
C2,131.2,-87.0875,90.0,bottom
C3,146.0,-83.05,90.0,bottom
C4,135.95,-87.0375,90.0,bottom
C5,135.95,-83.15,270.0,bottom
C6,135.132,-96.87,270.0,bottom
C7,137.368,-96.87,270.0,bottom
C8,133.35,-83.1125,270.0,bottom
C9,133.35,-87.1,90.0,bottom
D1,116.6,-80.3,90.0,bottom
J1,136.5,-72.2,180.0,bottom
J2,123.56,-78.3,0.0,top
J3,136.61,-78.35,0.0,top
J4,129.41,-92.0,0.0,top
J5,149.66,-78.35,0.0,top
J6,143.2325,-92.0075,0.0,top
R1,143.85,-86.85,90.0,bottom
R10,122.45,-74.05,0.0,bottom
R2,143.85,-83.05,270.0,bottom
R3,141.75,-96.9,90.0,bottom
R4,139.574,-96.9,270.0,bottom
R5,130.75,-96.9,90.0,bottom
R6,132.926,-96.9,270.0,bottom
R7,148.6,-74.75,180.0,bottom
R8,152.5,-74.75,180.0,bottom
R9,126.35,-74.05,0.0,bottom
U1,123.51,-84.8,0.0,bottom
U2,140.0,-85.0,0.0,bottom
